  0.1191	  3.6003	 -0.0672	 -2.6477	  0.0000
  0.2435	  3.6003	 -0.0966	 -2.6824	  0.0000
  0.3678	  3.6003	 -0.1151	 -2.8174	  0.0000
  0.4921	  3.6003	 -0.3075	 -3.0636	  0.0000
  0.6165	  3.6003	 -0.3852	 -3.1221	  0.0000
  0.7408	  3.6003	 -0.2576	 -3.1973	  0.0000
  0.8651	  3.6003	 -0.1406	 -3.1983	  0.0000
  0.9894	  3.6003	 -0.0775	 -3.1792	  0.0000
  1.1138	  3.6003	 -0.1441	 -3.1592	  0.0000
  1.2381	  3.6003	 -0.1906	 -3.1214	  0.0000
  1.3624	  3.6003	  0.1044	 -3.0695	  1.0000
  1.4867	  3.6003	 -0.0652	 -2.9995	  0.0000
  1.6111	  3.6003	  0.1966	 -3.0184	  0.0000
  1.7354	  3.6003	  0.3219	 -3.1939	  0.0000
  1.8597	  3.6003	  0.1953	 -3.0477	  1.0000
  1.9840	  3.6003	  0.2135	 -3.0602	  1.0000
  2.1084	  3.6003	  0.4456	 -3.0692	  0.0000
  2.2327	  3.6003	  0.4684	 -3.0940	  0.0000
  2.3570	  3.6003	  0.6285	 -3.1058	  0.0000
  2.4814	  3.6003	  0.4615	 -2.9453	  0.0000
  2.6057	  3.6003	  0.1776	 -2.6188	  0.0000
  2.7300	  3.6003	  0.0898	 -2.5145	  0.0000
  2.8543	  3.6003	 -0.1351	 -2.7230	  1.0000
  2.9787	  3.6003	 -0.0276	 -3.2507	  0.0000
  3.1030	  3.6003	  0.0040	 -3.2313	  0.0000
  3.2273	  3.6003	  0.0851	 -3.1390	  0.0000
  3.3516	  3.6003	  0.0976	 -3.1644	  0.0000
  3.4760	  3.6003	 -0.0701	 -3.1422	  0.0000
  3.6003	  3.6003	 -0.1259	 -3.0624	  0.0000
  3.7246	  3.6003	 -0.1224	 -2.9044	  0.0000
  3.8489	  3.6003	 -0.1479	 -2.8872	  0.0000
  3.9733	  3.6003	 -0.0206	 -3.0109	  0.0000
  4.0976	  3.6003	 -0.0522	 -3.0709	  0.0000
  4.2219	  3.6003	 -0.2666	 -2.9046	  0.0000
  4.3462	  3.6003	 -0.1610	 -2.6899	  0.0000
  4.4706	  3.6003	 -0.0769	 -2.6590	  0.0000
  4.5949	  3.6003	 -0.0502	 -2.8869	  0.0000
  4.7192	  3.6003	  0.0815	 -3.1156	  0.0000
  4.8436	  3.6003	 -0.0852	 -3.0661	  0.0000
